pass,dir,pulse_us,cx,cy,area,valid,deg
2,-1,1600,914.245,356.625,1436.5,1,11.7282
2,-1,1590,894.02,356.814,1418.5,1,10.8847
2,-1,1580,868.204,357.128,1396,1,9.80115
2,-1,1570,844.443,357.371,1374,1,8.79752
2,-1,1560,827.804,357.503,1364.5,1,8.09139
2,-1,1550,802.461,358.056,1364.5,1,7.01121
2,-1,1540,781.673,358.092,1342,1,6.1214
2,-1,1530,764.463,358.401,1328,1,5.38245
2,-1,1520,728.799,357.756,1216.5,1,3.84569
2,-1,1510,713.192,356.134,1118,1,3.17132
2,-1,1500,688.781,355.448,972,1,2.11484
2,-1,1490,668.836,358.17,1196.5,1,1.25051
2,-1,1480,647.964,359.146,1264.5,1,0.345431
2,-1,1470,635.37,359.174,1312,1,-0.200809
2,-1,1460,596.707,359.569,1320.5,1,-1.87709
2,-1,1450,573.791,359.751,1311,1,-2.86929
2,-1,1440,555.472,359.903,1306.5,1,-3.66125
2,-1,1430,538.25,359.947,1326.5,1,-4.40449
2,-1,1420,511.451,360.105,1339,1,-5.55806
2,-1,1410,483.554,360.387,1351,1,-6.75407
2,-1,1400,459.979,360.423,1346,1,-7.76027
2,-1,1390,443.488,360.259,1351.5,1,-8.46126
2,-1,1380,410.53,360.256,1376.5,1,-9.85447
2,-1,1370,394.976,360.376,1391,1,-10.508
2,-1,1360,372.192,360.541,1420,1,-11.4603
2,-1,1350,335.024,360.344,1442,1,-13
2,-1,1340,320.339,360.297,1475.5,1,-13.6032
2,-1,1330,299.148,360.575,1493.5,1,-14.4682
2,-1,1320,284.355,360.643,1498.5,1,-15.0681
2,-1,1310,253.434,360.715,1538.5,1,-16.3111
2,-1,1300,236.564,360.782,1560,1,-16.9828
2,-1,1290,201.735,360.898,1581.5,1,-18.3542
2,-1,1280,180.946,360.869,1581,1,-19.1626
2,-1,1270,160.608,360.853,1633,1,-19.9459
2,-1,1260,119.291,360.742,1668,1,-21.5132
2,-1,1250,108.724,360.686,1692,1,-21.9088
3,1,1250,98.1036,361.034,1675,1,-22.3043
3,1,1260,111.515,361.107,1682,1,-21.8046
3,1,1270,124.981,361.045,1661,1,-21.2993
3,1,1280,152.894,361.362,1623,1,-20.241
3,1,1290,187.684,361.311,1598,1,-18.9014
3,1,1300,197.994,361.224,1594,1,-18.5002
3,1,1310,227.325,361.328,1559.5,1,-17.3486
3,1,1320,256.09,361.516,1537,1,-16.205
3,1,1330,267.403,361.448,1515,1,-15.7515
3,1,1340,299.483,361.382,1492,1,-14.4546
3,1,1350,324.603,361.374,1453.5,1,-13.4283
3,1,1360,336.459,361.185,1433,1,-12.9408
3,1,1370,373.194,361.186,1408,1,-11.4186
3,1,1380,399.052,361.003,1392.5,1,-10.337
3,1,1390,414.884,360.994,1382,1,-9.67105
3,1,1400,430.049,360.978,1382,1,-9.03069
3,1,1410,465.945,360.737,1362.5,1,-7.50607
3,1,1420,485.254,360.942,1357.5,1,-6.68137
3,1,1430,501.445,360.725,1340,1,-5.98765
3,1,1440,535.29,360.71,1326.5,1,-4.53213
3,1,1450,555.334,360.469,1313.5,1,-3.6672
3,1,1460,567.404,360.301,1312.5,1,-3.14554
3,1,1470,601.16,360.247,1313.5,1,-1.6841
3,1,1480,625.677,359.859,1299.5,1,-0.621194
3,1,1490,650.532,359.551,1282,1,0.456777
3,1,1500,656.708,359.446,1255.5,1,0.724635
3,1,1510,684.315,356.754,1034.5,1,1.92136
3,1,1520,717.509,357.87,1172,1,3.35793
3,1,1530,730.353,359.119,1280,1,3.91278
3,1,1540,751.276,358.876,1321.5,1,4.815
3,1,1550,786.663,358.626,1344.5,1,6.33528
3,1,1560,800.476,358.643,1353,1,6.92641
3,1,1570,824.763,358.219,1363.5,1,7.96208
3,1,1580,844.905,358.05,1371,1,8.81707
3,1,1590,875.147,357.983,1379.5,1,10.0933
3,1,1600,896.471,357.606,1393.5,1,10.9872
3,1,1610,917.027,357.238,1431.5,1,11.8439
3,1,1620,942.129,357.005,1460.5,1,12.8827
3,1,1630,969.288,356.642,1465.5,1,13.997
3,1,1640,986.281,356.394,1483.5,1,14.6888
3,1,1650,1017.18,355.989,1521.5,1,15.9353
3,1,1660,1032.69,355.843,1559,1,16.5554
3,1,1670,1059.8,355.67,1563,1,17.6297
3,1,1680,1093.68,355.095,1616,1,18.9545
3,1,1690,1111.41,354.829,1629,1,19.6395
3,1,1700,1133.47,354.183,1664,1,20.4836
3,1,1710,1163.38,354.021,1686,1,21.6134
3,1,1720,1187.8,353.413,1694.5,1,22.5232
3,1,1730,1211.31,352.917,1720,1,23.3878
3,1,1740,1241.42,352.467,1721,1,24.4786
3,1,1750,1267.55,351.75,999,1,25.4103
3,-1,1750,1270.06,350.389,735.5,1,25.499
3,-1,1740,1262.85,350.656,1395,1,25.2439
3,-1,1730,1250.13,350.934,1759,1,24.7908
3,-1,1720,1208.52,351.446,1706.5,1,23.2855
3,-1,1710,1185.72,352.006,1706.5,1,22.446
3,-1,1700,1167.81,352.145,1682.5,1,21.7794
3,-1,1690,1144.93,352.69,1661.5,1,20.9186
3,-1,1680,1114.93,352.955,1648.5,1,19.7745
3,-1,1670,1085.95,353.426,1617.5,1,18.6538
3,-1,1660,1059.11,353.936,1571,1,17.6024
3,-1,1650,1030.05,354.252,1538.5,1,16.4502
3,-1,1640,1015.55,354.646,1525.5,1,15.8699
3,-1,1630,988.764,354.9,1505,1,14.7895
3,-1,1620,965.368,355.033,1456,1,13.8368
3,-1,1610,941.175,355.428,1445,1,12.8433
3,-1,1600,916.375,355.875,1436.5,1,11.8168
3,-1,1590,886.936,356.203,1396.5,1,10.5881
3,-1,1580,868.381,356.473,1384.5,1,9.8086
3,-1,1570,842.09,356.795,1369.5,1,8.69783
3,-1,1560,826.976,356.98,1362.5,1,8.05618
3,-1,1550,804.563,357.297,1351.5,1,7.101
3,-1,1540,782.18,357.581,1338.5,1,6.14315
3,-1,1530,764.037,357.493,1304.5,1,5.36415
3,-1,1520,728.169,357.41,1243.5,1,3.81851
3,-1,1510,715.751,356.387,1170,1,3.28196
3,-1,1500,699.686,354.426,984,1,2.587
3,-1,1490,661.715,358.142,1231.5,1,0.941767
3,-1,1480,643.986,358.626,1295,1,0.1729
3,-1,1470,634.9,358.703,1294.5,1,-0.221188
3,-1,1460,608.597,359.011,1293.5,1,-1.36179
3,-1,1450,571.16,359.35,1313.5,1,-2.98309
3,-1,1440,556.975,359.374,1315.5,1,-3.59632
3,-1,1430,539.264,359.5,1318,1,-4.3608
3,-1,1420,513.232,359.587,1333,1,-5.48154
3,-1,1410,482.539,359.916,1343,1,-6.7975
3,-1,1400,460.913,359.857,1350,1,-7.72047
3,-1,1390,443.187,359.958,1355,1,-8.47406
3,-1,1380,408.972,360.171,1386,1,-9.92004
3,-1,1370,396.262,360.311,1390.5,1,-10.4541
3,-1,1360,380.401,360.103,1408.5,1,-11.1179
3,-1,1350,336.389,360.118,1435,1,-12.9437
3,-1,1340,327.446,360.197,1459,1,-13.3116
3,-1,1330,304.842,360.298,1460,1,-14.2364
3,-1,1320,278.421,360.598,1509,1,-15.3078
3,-1,1310,257.529,360.474,1527,1,-16.1474
3,-1,1300,237.561,360.465,1547,1,-16.9432
3,-1,1290,207.687,360.618,1574,1,-18.1213
3,-1,1280,179.062,360.762,1594.5,1,-19.2355
3,-1,1270,152.276,360.356,1619,1,-20.2646
3,-1,1260,125.366,360.488,1667,1,-21.2848
3,-1,1250,112.783,360.611,1671.5,1,-21.7572
